area_name,lat,lng,flood_reported
Kaneshie,5.566579,-0.234458,1
Adabraka,5.562458,-0.212892,1
Alajo,5.593703,-0.216895,1
Avenor,5.577694,-0.218625,1
Achimota,5.624202,-0.227681,1
Dansoman,5.544846,-0.268067,1
Weija,5.579226,-0.330679,1
Mallam,5.574336,-0.28896,1
Kwashieman,5.593055,-0.270272,1
Santa Maria,5.604457,-0.273427,1
Odorkor,5.573957,-0.267779,1
Lapaz,5.607365,-0.24869,1
Abeka,5.603294,-0.245277,1
Nima,5.582025,-0.198768,1
Kotobabi,5.598884,-0.204324,1
Alogboshie,5.632389,-0.236308,1
Akweteyman,5.61625,-0.237551,1
Taifa,5.656651,-0.250024,1
Ofankor,5.663648,-0.265231,1
Madina,5.686496,-0.167705,1
Ashaiman,5.694385,-0.029529,1
Sakumono,5.625298,-0.057016,1
Teshie,5.582234,-0.11351,1
Nungua,5.601139,-0.070385,1
Korle Gonno,5.532603,-0.228979,1
Chorkor,5.527605,-0.24447,1
Agbogbloshie,5.554534,-0.227484,1
Old Fadama,5.545493,-0.223379,1
Tesano,5.600623,-0.226279,1
Kokomlemle,5.575515,-0.208873,1
Darkuman,5.590258,-0.251983,1
Sowutuom,5.623707,-0.278843,1
Awoshie,5.587278,-0.27809,1
Bortianor,5.507893,-0.336246,1
Adenta,5.704243,-0.169097,0
Dome,5.655423,-0.232884,1
Kwabenya,5.68902,-0.245747,0
Pokuase,5.689213,-0.282636,0
Amasaman,5.703291,-0.299065,1
East Legon,5.63548,-0.161716,0
Osu,5.560593,-0.182439,0
Labadi,5.560232,-0.157641,1
Circle,5.569495,-0.215762,1
Dzorwulu,5.612307,-0.203837,0
Airport Residential Area,5.605366,-0.183314,0
