h3_index,centroid_lat,centroid_lng,elev_m,slope_pct,hand_m,water_dist_m,building_count,is_land,elevation_score,slope_score,drainage_score,imperviousness
8875292505fffff,5.689185,-0.053404,17.0,2.03,0.0,0.0,234,1,0.8008,0.594,1.0,0.5599
8875292507fffff,5.682154,-0.050877,21.0,1.309,4.0,830.0,1137,1,0.7486,0.7382,0.6667,0.9444
8875292521fffff,5.686778,-0.065336,39.0,2.165,22.0,1347.0,1447,1,0.4239,0.567,0.0,0.9703
8875292523fffff,5.679747,-0.062809,31.0,1.547,21.0,1328.0,1634,1,0.5704,0.6905,0.0,0.9761
8875292525fffff,5.68909,-0.072564,32.0,1.489,12.0,1328.0,487,1,0.5503,0.7022,0.0,0.7088
8875292527fffff,5.682059,-0.070037,38.0,2.437,18.0,739.0,1182,1,0.442,0.5127,0.0,0.9521
8875292529fffff,5.691497,-0.060633,23.0,2.165,6.0,739.0,670,1,0.7141,0.567,0.5,0.7773
887529252bfffff,5.684466,-0.058107,32.0,2.03,15.0,739.0,1155,1,0.5503,0.594,0.0,0.9464
887529252dfffff,5.693809,-0.067863,34.0,1.309,17.0,1347.0,141,1,0.5168,0.7382,0.0,0.4555
8875292531fffff,5.670405,-0.053054,13.0,1.547,3.0,1347.0,41,1,0.8578,0.6905,0.75,0.2816
8875292533fffff,5.663376,-0.050528,20.0,1.218,17.0,1328.0,16,1,0.762,0.7563,0.0,0.1758
8875292535fffff,5.672718,-0.060282,26.0,2.166,16.0,739.0,1029,1,0.6633,0.5668,0.0,0.9167
8875292537fffff,5.665688,-0.057756,19.0,1.76,13.0,739.0,33,1,0.7759,0.648,0.0,0.2486
887529253dfffff,5.677435,-0.05558,18.0,1.686,1.0,1328.0,896,1,0.7869,0.6627,0.9167,0.8784
8875292563fffff,5.696217,-0.055931,17.0,1.785,0.0,0.0,81,1,0.8008,0.643,1.0,0.3716
8875292567fffff,5.698528,-0.063161,32.0,1.785,15.0,840.0,415,1,0.5503,0.643,0.0,0.6791
88752925a5fffff,5.639889,-0.054879,29.0,1.928,26.0,1328.0,838,1,0.6073,0.6144,0.0,0.8544
88752925a7fffff,5.632863,-0.052354,20.0,1.667,17.0,2087.0,533,1,0.762,0.6666,0.0,0.7265
88752925adfffff,5.644604,-0.050178,15.0,1.896,12.0,830.0,445,1,0.8261,0.6209,0.0,0.6925
8875292c01fffff,5.670031,-0.129651,39.0,2.032,0.0,0.0,2,1,0.4239,0.5935,1.0,0.0838
8875292c03fffff,5.663006,-0.127122,34.0,2.169,0.0,0.0,4,1,0.5168,0.5661,1.0,0.1011
8875292c05fffff,5.672341,-0.136873,45.0,0.715,0.0,0.0,0,1,0.3348,0.857,1.0,0.0316
8875292c07fffff,5.665316,-0.134344,40.0,1.491,1.0,738.0,0,1,0.4047,0.7018,0.9167,0.0316
8875292c09fffff,5.674747,-0.124957,54.0,2.032,15.0,738.0,197,1,0.2304,0.5935,0.0,0.5302
8875292c0bfffff,5.667721,-0.122428,44.0,1.928,10.0,738.0,3,1,0.3491,0.6144,0.1667,0.0929
8875292c0dfffff,5.677057,-0.13218,47.0,2.169,2.0,738.0,5,1,0.3046,0.5662,0.8333,0.1092
8875292c11fffff,5.65367,-0.117372,42.0,2.032,0.0,0.0,51,1,0.3745,0.5935,1.0,0.3132
8875292c13fffff,5.646646,-0.114844,41.0,1.626,0.0,0.0,18,1,0.3879,0.6748,1.0,0.1868
8875292c15fffff,5.655981,-0.124594,52.0,3.252,0.0,738.0,0,1,0.2486,0.3496,1.0,0.0316
8875292c17fffff,5.648957,-0.122066,39.0,2.169,0.0,0.0,2,1,0.4239,0.5663,1.0,0.0838
8875292c19fffff,5.658384,-0.112677,27.0,2.032,0.0,0.0,47,1,0.6446,0.5935,1.0,0.3022
8875292c1bfffff,5.651359,-0.110149,29.0,1.626,0.0,0.0,65,1,0.6073,0.6748,1.0,0.3472
8875292c1dfffff,5.660695,-0.1199,28.0,3.252,0.0,0.0,16,1,0.626,0.3496,1.0,0.1758
8875292c21fffff,5.669936,-0.148787,68.0,2.304,17.0,738.0,125,1,0.1169,0.5392,0.0,0.4258
8875292c23fffff,5.662912,-0.146258,67.0,2.44,11.0,1327.0,37,1,0.1255,0.5121,0.0833,0.2601
8875292c25fffff,5.672246,-0.156008,58.0,2.411,0.0,0.0,175,1,0.1882,0.5179,1.0,0.5067
8875292c27fffff,5.665222,-0.153478,78.0,2.411,9.0,738.0,186,1,0.0771,0.5179,0.25,0.5144
8875292c29fffff,5.674651,-0.144095,51.0,2.304,0.0,0.0,19,1,0.261,0.5392,1.0,0.194
8875292c2bfffff,5.667626,-0.141566,49.0,2.44,4.0,738.0,5,1,0.2845,0.5121,0.6667,0.1092
8875292c2dfffff,5.676961,-0.151317,52.0,1.928,0.0,0.0,157,1,0.2486,0.6143,1.0,0.488
8875292c31fffff,5.653578,-0.136508,60.0,1.355,5.0,839.0,2,1,0.1782,0.7289,0.5833,0.0838
8875292c33fffff,5.646554,-0.13398,58.0,1.356,3.0,738.0,68,1,0.1882,0.7289,0.75,0.3539
8875292c35fffff,5.655888,-0.143729,70.0,2.575,14.0,738.0,0,1,0.1063,0.4849,0.0,0.0316
8875292c37fffff,5.648865,-0.1412,52.0,2.17,7.0,738.0,19,1,0.2486,0.566,0.4167,0.194
8875292c39fffff,5.658292,-0.131816,50.0,2.168,16.0,738.0,5,1,0.2744,0.5663,0.0,0.1092
8875292c3bfffff,5.651267,-0.129287,55.0,1.906,0.0,0.0,56,1,0.2165,0.6188,1.0,0.3242
8875292c3dfffff,5.660602,-0.139037,51.0,2.575,6.0,1327.0,0,1,0.261,0.4849,0.5,0.0316
8875292c41fffff,5.68649,-0.12279,43.0,1.219,14.0,1346.0,848,1,0.363,0.7562,0.0,0.8582
8875292c43fffff,5.679463,-0.120262,51.0,2.303,12.0,1476.0,913,1,0.261,0.5395,0.0,0.8841
8875292c45fffff,5.6888,-0.130014,44.0,2.845,0.0,1476.0,739,1,0.3491,0.431,1.0,0.8065
8875292c47fffff,5.681773,-0.127485,52.0,1.549,13.0,1327.0,925,1,0.2486,0.6903,0.0,0.8913
8875292c49fffff,5.691208,-0.118095,35.0,1.084,8.0,738.0,954,1,0.5005,0.7833,0.3333,0.9023
8875292c4bfffff,5.68418,-0.115566,34.0,2.303,5.0,738.0,1011,1,0.5168,0.5395,0.5833,0.9128
8875292c4dfffff,5.693518,-0.125319,33.0,1.49,6.0,1346.0,921,1,0.5326,0.702,0.5,0.8889
8875292c51fffff,5.670126,-0.110509,41.0,1.446,14.0,1327.0,129,1,0.3879,0.7108,0.0,0.4349
8875292c53fffff,5.663099,-0.107981,29.0,1.446,2.0,738.0,0,1,0.6073,0.7108,0.8333,0.0316
8875292c55fffff,5.672436,-0.117733,47.0,1.085,19.0,1327.0,256,1,0.3046,0.7831,0.0,0.5805
8875292c57fffff,5.66541,-0.115205,38.0,1.355,10.0,738.0,9,1,0.442,0.729,0.1667,0.1398
8875292c59fffff,5.674842,-0.105813,37.0,1.084,15.0,1328.0,151,1,0.4631,0.7831,0.0,0.4775
8875292c5bfffff,5.667815,-0.103285,33.0,0.953,6.0,830.0,0,1,0.5326,0.8094,0.5,0.0316
8875292c5dfffff,5.677152,-0.113038,43.0,2.032,14.0,1328.0,929,1,0.363,0.5937,0.0,0.8937
8875292c61fffff,5.686393,-0.141932,65.0,2.574,9.0,738.0,955,1,0.1413,0.4852,0.25,0.9033
8875292c63fffff,5.679367,-0.139402,47.0,2.439,0.0,0.0,25,1,0.3046,0.5122,1.0,0.2193
8875292c65fffff,5.688703,-0.149154,68.0,1.897,14.0,738.0,363,1,0.1169,0.6206,0.0,0.6489
8875292c67fffff,5.681677,-0.146625,56.0,1.446,0.0,0.0,228,1,0.2055,0.7108,1.0,0.5517
8875292c69fffff,5.69111,-0.137238,46.0,2.574,1.0,830.0,927,1,0.3214,0.4852,0.9167,0.8927
8875292c6bfffff,5.684083,-0.134709,65.0,2.845,18.0,738.0,1201,1,0.1413,0.431,0.0,0.954
8875292c6dfffff,5.69342,-0.144461,55.0,1.761,0.0,0.0,1002,1,0.2165,0.6477,1.0,0.9119
8875292c81fffff,5.620865,-0.111956,43.0,2.383,7.0,738.0,1126,1,0.363,0.5235,0.4167,0.9416
8875292c83fffff,5.613843,-0.109429,40.0,2.305,4.0,839.0,817,1,0.4047,0.5391,0.6667,0.8424
8875292c85fffff,5.623176,-0.119176,45.0,1.085,9.0,829.0,1323,1,0.3348,0.783,0.25,0.9665
8875292c87fffff,5.616155,-0.116649,36.0,1.085,0.0,0.0,1188,1,0.4842,0.783,1.0,0.9531
8875292c89fffff,5.625576,-0.107262,31.0,1.787,0.0,1345.0,865,1,0.5704,0.6426,1.0,0.864
8875292c8bfffff,5.618553,-0.104735,23.0,2.383,0.0,829.0,826,1,0.7141,0.5235,1.0,0.8482
8875292c8dfffff,5.627887,-0.114483,46.0,1.787,10.0,1326.0,1036,1,0.3214,0.6426,0.1667,0.9205
8875292c91fffff,5.60451,-0.099683,23.0,2.502,0.0,0.0,1326,1,0.7141,0.4996,1.0,0.9674
8875292c93fffff,5.597489,-0.097157,16.0,1.43,0.0,0.0,917,1,0.8137,0.7141,1.0,0.8855
8875292c95fffff,5.606822,-0.106903,44.0,2.576,19.0,738.0,739,1,0.3491,0.4848,0.0,0.8065
8875292c97fffff,5.599802,-0.104377,28.0,1.93,0.0,0.0,620,1,0.626,0.6141,1.0,0.7605
8875292c99fffff,5.60922,-0.094988,20.0,1.627,0.0,0.0,705,1,0.762,0.6747,1.0,0.7931
8875292c9bfffff,5.602198,-0.092462,13.0,2.169,0.0,0.0,886,1,0.8578,0.5662,1.0,0.8726
8875292c9dfffff,5.611532,-0.102209,25.0,2.576,0.0,0.0,806,1,0.6801,0.4848,1.0,0.8381
8875292ca1fffff,5.620777,-0.131088,37.0,2.305,17.0,737.0,666,1,0.4631,0.5389,0.0,0.7749
8875292ca3fffff,5.613757,-0.128561,32.0,2.17,16.0,737.0,1116,1,0.5503,0.566,0.0,0.9397
8875292ca5fffff,5.623088,-0.138307,26.0,2.503,0.0,0.0,823,1,0.6633,0.4995,1.0,0.8458
8875292ca7fffff,5.616068,-0.135779,20.0,2.86,0.0,0.0,796,1,0.762,0.4279,1.0,0.8319
8875292ca9fffff,5.625487,-0.126396,39.0,1.491,13.0,1345.0,556,1,0.4239,0.7017,0.0,0.7337
8875292cabfffff,5.618466,-0.123869,41.0,1.22,8.0,829.0,1227,1,0.3879,0.7559,0.3333,0.9602
8875292cadfffff,5.627798,-0.133616,43.0,2.305,17.0,737.0,496,1,0.363,0.5389,0.0,0.7126
8875292cb1fffff,5.604425,-0.118815,30.0,1.668,0.0,0.0,1079,1,0.5881,0.6664,1.0,0.931
8875292cb3fffff,5.597405,-0.116288,36.0,1.93,12.0,737.0,701,1,0.4842,0.614,0.0,0.7912
8875292cb5fffff,5.606736,-0.126034,31.0,2.17,16.0,737.0,860,1,0.5704,0.566,0.0,0.8625
8875292cb7fffff,5.599717,-0.123507,25.0,1.311,0.0,0.0,707,1,0.6801,0.7378,1.0,0.7955
8875292cb9fffff,5.609134,-0.114123,37.0,0.949,7.0,737.0,1206,1,0.4631,0.8102,0.4167,0.955
8875292cbbfffff,5.602113,-0.111596,44.0,1.906,12.0,829.0,1135,1,0.3491,0.6187,0.0,0.9435
8875292cbdfffff,5.611445,-0.121342,33.0,0.965,0.0,0.0,1111,1,0.5326,0.8071,1.0,0.9377
8875292cc1fffff,5.637311,-0.105095,40.0,1.22,9.0,738.0,716,1,0.4047,0.7561,0.25,0.7998
8875292cc3fffff,5.630287,-0.102568,39.0,1.085,3.0,840.0,917,1,0.4239,0.783,0.75,0.8855
8875292cc5fffff,5.639622,-0.112317,40.0,1.084,0.0,0.0,853,1,0.4047,0.7831,1.0,0.8597
8875292cc7fffff,5.632599,-0.109789,38.0,1.191,0.0,830.0,626,1,0.442,0.7617,1.0,0.7653
8875292cc9fffff,5.642023,-0.100399,31.0,1.22,0.0,0.0,804,1,0.5704,0.7561,1.0,0.8372
8875292ccbfffff,5.634999,-0.097872,41.0,1.205,7.0,738.0,837,1,0.3879,0.7589,0.4167,0.8534
8875292ccdfffff,5.644335,-0.107622,40.0,1.355,0.0,0.0,334,1,0.4047,0.729,1.0,0.6303
8875292cd1fffff,5.620952,-0.092819,28.0,0.964,0.0,0.0,1256,1,0.626,0.8071,1.0,0.9636
8875292cd3fffff,5.613929,-0.090293,32.0,1.627,12.0,738.0,817,1,0.5503,0.6747,0.0,0.8424
8875292cd5fffff,5.623264,-0.100041,30.0,1.085,0.0,738.0,841,1,0.5881,0.783,1.0,0.8563
8875292cd7fffff,5.616241,-0.097514,24.0,0.953,0.0,738.0,977,1,0.6959,0.8094,1.0,0.909
8875292cd9fffff,5.625663,-0.088123,32.0,1.206,4.0,738.0,887,1,0.5503,0.7589,0.6667,0.874
8875292cdbfffff,5.61864,-0.085597,22.0,1.355,0.0,0.0,802,1,0.7347,0.7289,1.0,0.8362
8875292cddfffff,5.627975,-0.095345,36.0,0.964,0.0,0.0,944,1,0.4842,0.8071,1.0,0.8989
8875292ce1fffff,5.637221,-0.124231,56.0,1.491,11.0,738.0,179,1,0.2055,0.7018,0.0833,0.5101
8875292ce3fffff,5.630198,-0.121704,50.0,1.491,5.0,1327.0,761,1,0.2744,0.7017,0.5833,0.8147
8875292ce5fffff,5.639532,-0.131452,54.0,0.844,0.0,1327.0,43,1,0.2304,0.8312,1.0,0.2893
8875292ce7fffff,5.632509,-0.128924,47.0,1.22,11.0,1345.0,242,1,0.3046,0.756,0.0833,0.5675
8875292ce9fffff,5.641933,-0.119538,45.0,1.491,0.0,0.0,107,1,0.3348,0.7018,1.0,0.4033
8875292cebfffff,5.63491,-0.117011,48.0,1.191,8.0,738.0,808,1,0.2917,0.7617,0.3333,0.8391
8875292cedfffff,5.644244,-0.126759,55.0,2.169,16.0,738.0,36,1,0.2165,0.5663,0.0,0.2557
8875292d01fffff,5.686197,-0.180198,57.0,1.43,0.0,0.0,211,1,0.1954,0.714,1.0,0.5393
